Company Name,Ownership Type,Holding Company Name,State,City,Website,Planning Area Name,Balancing Authority Area Name,Membership Name,Overlap,Area (sq mi),Location Code,Source,Population 2000,Number Of Households,Median Household Income,Household Aggregate Income,Per Capita Income,Layer_ID,Rec_ID,Bundled Residential Customers,Bundled Industrial Customers,Bundled Commercial Customers,Bundled Total Customers,Total Customers Ranges,Color_Code,Distribution Line Miles,Population 2010
4 County Electric Power Association,DistCoop,4 County Electric Power Association,MS,Columbus,www.4county.org,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,F,2524.720753,3,Company Maps; ABB Research,106512.1,48833.01,-99.9,-99.9,-99.9,81,1216,39115,7,9442,48564,"3,000 to 100,000",4,-99.9,109538.28
A & N Electric Coop,DistCoop,A & N Electric Coop,VA,Parksley,www.anecop.com,Old Dominion Electric Coop Inc,PJM Interconnection,Old Dominion Electric Coop,T,966.1824132,3,Company Maps; ABB Research,51954.41,28633.64421,-99.9,-99.9,-99.9,81,1487,31653,8,4173,35834,"3,000 to 100,000",5,-99.9,46024.63357
Abbeville LA (City of),Muni,Abbeville LA (City of),LA,Abbeville,www.vermilion.org/abbeville.htm,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,2.256995293,4,Previously Mapped Features; ABB Research,5152.044471,2087.415351,-99.9,-99.9,-99.9,81,370,4655,27,1032,5714,"3,000 to 100,000",1,-99.9,4774.794384
Abbeville SC (City of),Muni,Abbeville SC (City of),SC,Abbeville,,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Not Applicable,F,4.256064845,4,Previously Mapped Features; ABB Research,5281,122.4178327,-99.9,-99.9,-99.9,81,1349,2906,0,492,3398,"3,000 to 100,000",4,-99.9,268.2295989
Aberdeen MS (City of),Muni,Aberdeen MS (City of),MS,Aberdeen,,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,F,32.44458085,4,Previously Mapped Features; ABB Research,6554.776583,2680.612102,-99.9,-99.9,-99.9,81,1350,2566,2,664,3232,"3,000 to 100,000",3,-99.9,6108.446492
Access Energy Coop,DistCoop,Access Energy Coop,IA,Mount Pleasant,www.accessenergycoop.com,Associated Electric Coop Inc,Associated Electric Coop Inc,Northeast Missouri Electric Power Coop,F,1154.140993,3,Company Maps; ABB Research,32385.43998,14744.75662,-99.9,-99.9,-99.9,81,1643,8690,26,192,8908,"3,000 to 100,000",2,-99.9,34226.98008
Acworth GA (City of),Muni,Acworth GA (City of),GA,Acworth,,Georgia Power Co,Southern Co Services Inc,Municipal Electric Authority of Georgia,F,2.882351057,4,Previously Mapped Features; ABB Research,4532.97773,2708.829045,-99.9,-99.9,-99.9,81,371,5944,3,597,6544,"3,000 to 100,000",2,-99.9,6584.648337
Ada MN (City of),Muni,Ada MN (City of),MN,Ada,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,0.82748931,4,Previously Mapped Features; ABB Research,1618,6.276673006,-99.9,-99.9,-99.9,81,372,897,35,155,1087,"0 to 3,000",1,-99.9,12.97376468
Adams Columbia Electric Coop,DistCoop,Adams Columbia Electric Coop,WI,Friendship,www.acecwi.com,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,1592.935352,4,Previously Mapped Features; ABB Research,55905.72051,38698.75703,-99.9,-99.9,-99.9,81,2424,34207,932,2211,37350,"3,000 to 100,000",1,-99.9,62534.00983
Adams Electric Coop (IL),DistCoop,Adams Electrical Coop,IL,Camp Point,www.adamselectriccoop.com,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Prairie Power Inc,F,1251.615268,3,Company Maps; ABB Research,25453.32523,10888.31258,-99.9,-99.9,-99.9,81,332,8664,0,225,8889,"3,000 to 100,000",5,-99.9,25143.70332
Adams Electric Coop Inc (PA),DistCoop,Adams Electric Coop Inc,PA,Gettysburg,www.adamsec.com,PJM Interconnection,PJM Interconnection,Allegheny Electric Coop Inc,F,1482.725589,4,Previously Mapped Features; ABB Research,306467.4116,142439.8598,-99.9,-99.9,-99.9,81,2860,30924,19,1519,32462,"3,000 to 100,000",6,-99.9,350419.0226
Adams Rural Electric Coop Inc,DistCoop,Adams Rural Electric Coop Inc,OH,West Union,www.adamsrec.com,Buckeye Power Inc,PJM Interconnection,Buckeye Power Inc,F,504.924612,3,ABB Research,20641.65487,11373.16279,-99.9,-99.9,-99.9,81,2663,7091,0,372,7463,"3,000 to 100,000",5,-99.9,24990.10032
Adel GA (City of),Muni,Adel GA (City of),GA,Adel,,Southern Co Services,Southern Co Services Inc,Municipal Electric Authority of Georgia,F,1.528249937,4,Previously Mapped Features; ABB Research,5204,62.6991807,-99.9,-99.9,-99.9,81,373,2074,16,571,2661,"0 to 3,000",1,-99.9,149.2471108
Adrian Public Utilities Commission,Muni,Adrian Public Utilities Commission,MN,Adrian,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,0.44140278,4,Previously Mapped Features; ABB Research,1065,2.77916754,-99.9,-99.9,-99.9,81,374,537,2,112,651,0 to 700,1,-99.9,6.273940987
Advance IN (Town of),Muni,Advance IN (Town of),IN,Advance,,Indiana Municipal Power Agency,Midcontinent ISO (Balancing Authority),Indiana Municipal Power Agency,F,0.623492076,4,Previously Mapped Features; ABB Research,606,12.32741791,-99.9,-99.9,-99.9,81,1993,244,0,33,277,0 to 700,1,-99.9,30.83866569
AEP Texas Central Co,IOU,American Electric Power Co Inc,TX,Corpus Christi,,ERCOT,ERCOT ISO (Balancing Authority),Not Applicable,F,47058.09473,3,Company Maps; ABB Research,2247773.083,961051.7644,-99.9,-99.9,-99.9,81,3108,-99,-99,-99,-99,Not Reported,4,-99.9,2634807.221
AEP Texas North Co,IOU,American Electric Power Co Inc,TX,Abilene,,ERCOT,ERCOT ISO (Balancing Authority),Not Applicable,F,44813.1676,3,Company Maps; ABB Research,414292.5804,193958.1433,-99.9,-99.9,-99.9,81,3104,-99,-99,-99,-99,Not Reported,3,-99.9,419924.3106
Afton IA (City of),Muni,Afton IA (City of),IA,Afton,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,2.182338082,4,Previously Mapped Features; ABB Research,951,17.04371361,-99.9,-99.9,-99.9,81,1351,416,0,98,514,0 to 700,1,-99.9,36.21789142
Agralite Electric Coop,DistCoop,Agralite Electric Coop,MN,Benson,www.agralite.coop,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Great River Energy,F,923.8572172,3,Company Maps; ABB Research,13346.40478,5766.403391,-99.9,-99.9,-99.9,81,949,4381,574,278,5233,"3,000 to 100,000",3,-99.9,12462.04863
Aiken Electric Coop Inc,DistCoop,Aiken Electric Coop Inc,SC,Aiken,www.aikenco-op.org,Central Electric Power Coop Inc,South Carolina Public Service Authority,Central Electric Power Coop Inc (SC),F,1521.721589,3,Company Maps; ABB Research,96540.74548,50080.01766,-99.9,-99.9,-99.9,81,2718,45005,15,2739,47759,"3,000 to 100,000",2,-99.9,112523.1874
Aitkin Public Utilities Commission,Muni,Aitkin Public Utilities Commission,MN,Aitkin,www.ci.aitkin.mn.us/index.asp?Type=B_BASIC&SEC={C05CFC13-B275-4EA4-8AFF-8E3,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,0.494152519,4,Previously Mapped Features; ABB Research,1843,24.00085803,-99.9,-99.9,-99.9,81,376,1636,84,321,2041,"0 to 3,000",1,-99.9,44.16374101
Ajo Improvement Co,Muni,Ajo Improvement Co,AZ,Ajo,,Arizona Public Service Co,Arizona Public Service Co,Not Applicable,F,28.15606741,3,ABB Research,3720,43.76982733,-99.9,-99.9,-99.9,81,2115,779,0,213,992,"0 to 3,000",2,-99.9,64.57332566
AK Chin Electric Utility Authority,State,AK Chin Electric Utility Authority,AZ,Tempe,,Arizona Public Service Co,Arizona Public Service Co,Not Applicable,F,32.93478364,4,Previously Mapped Features; ABB Research,167622,170.7096684,-99.9,-99.9,-99.9,81,1744,317,30,122,469,0 to 700,1,-99.9,437.9560369
Akiachak Native Community Electric,DistCoop,Akiachak Native Community Electric,AK,Akiachak,,Chugach Electric Association Inc,Chugach Electric Association Inc,Not Applicable,F,1.986354697,3,ABB Research,-99,0.244562383,-99.9,-99.9,-99.9,81,2125,188,0,47,235,0 to 700,3,-99.9,0.826803951
Akron Municipal Utilities,Muni,Akron Municipal Utilities,IA,Akron,,WAPA Upper Great Plains East,Southwest Power Pool (Balancing Authority),Heartland Consumers Power District,F,5.2934756,4,Previously Mapped Features; ABB Research,1445,38.82677265,-99.9,-99.9,-99.9,81,1352,703,50,85,838,"0 to 3,000",1,-99.9,89.28935518
Akron NY (Village of),Muni,Akron NY (Village of),NY,Akron,,New York Independent System Operator Inc,New York ISO (Balancing Authority),Not Applicable,F,0.810537314,4,Previously Mapped Features; ABB Research,908.7326586,412.9863823,-99.9,-99.9,-99.9,81,2226,1441,39,168,1648,"0 to 3,000",1,-99.9,848.7689887
Akutan AK (City of),Muni,Akutan AK (City of),AK,Akutan,,Chugach Electric Association Inc,Chugach Electric Association Inc,Not Applicable,F,18.3624266,3,ABB Research,389,1.92028331,-99.9,-99.9,-99.9,81,2862,49,0,33,82,0 to 700,2,-99.9,8.07444428
Alabama Power Co,IOU,Southern Co,AL,Birmingham,www.alabamapower.com/,Alabama Power Co,Southern Co Services Inc,Not Applicable,F,20119.46618,3,Company Maps; ABB Research,2542412.447,1220957.245,-99.9,-99.9,-99.9,81,2767,1273526,6158,200791,1480475,"950,000 and Above",2,-99.9,2731170.866
Alachua FL (City of),Muni,Alachua FL (City of),FL,Alachua,,Progress Energy Florida,Duke Energy Florida Inc,Florida Municipal Power Agency,F,0.780923265,4,Previously Mapped Features; ABB Research,5732,39.72397851,-99.9,-99.9,-99.9,81,377,3862,0,722,4584,"3,000 to 100,000",1,-99.9,90.77587283
Alameda CA (City of),Muni,Alameda CA (City of),CA,Alameda,www.ci.alameda.ca.us,California ISO,California Independent System Operator (Balancing Authority),Not Applicable,F,10.88561057,4,Previously Mapped Features; ABB Research,48064.19,22287.82,-99.9,-99.9,-99.9,81,378,31136,0,4193,35329,"3,000 to 100,000",1,-99.9,48938.51
Alamo Power District No 3,PSubdiv,Alamo Power District No 3,NV,Alamo,,Nevada Power Co,Nevada Power Co,Not Applicable,F,126.1810886,4,ABB Research,-99,22.10741473,-99.9,-99.9,-99.9,81,2946,670,41,42,753,"0 to 3,000",4,-99.9,48.25908991
Alaska Electric Light & Power Co,IOU,Avista Corp,AK,Juneau,www.aelp.com,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Not Applicable,F,3037.817471,3,ABB Research,28022.36482,11755.66522,-99.9,-99.9,-99.9,81,2313,14707,140,2318,17165,"3,000 to 100,000",1,-99.9,28444.62638
Alaska Power Co,Private,Alaska Power & Telephone Co,WA,Port Townsend,,Chugach Electric Association Inc,Chugach Electric Association Inc,Not Applicable,F,5719.617269,3,ABB Research,14899.79829,4554.33511,-99.9,-99.9,-99.9,81,2312,5569,0,2405,7974,"3,000 to 100,000",3,-99.9,9846.603059
Alaska Village Electric Coop Inc,DistCoop,Alaska Village Electric Coop Inc,AK,Anchorage,www.avec.org,Chugach Electric Association Inc,Chugach Electric Association Inc,Not Applicable,F,65819.91461,3,Company Maps; ABB Research,15925.31,5891.575628,-99.9,-99.9,-99.9,81,2308,8183,0,3305,11488,"3,000 to 100,000",6,-99.9,17244.7724
Albany IL (City of),Muni,Albany IL (City of),IL,Albany,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,0.992828348,4,Previously Mapped Features; ABB Research,796,17.21525498,-99.9,-99.9,-99.9,81,1790,437,0,42,479,0 to 700,1,-99.9,38.32984088
Albany Municipal Gas System,Muni,Albany MO (City of),MO,Albany,www.albanymo.net,Southwest Power Pool,Southwest Power Pool (Balancing Authority),Missouri Joint Municipal Electric Utility Commission,F,0.975358431,4,Previously Mapped Features; ABB Research,1855,5.667246634,-99.9,-99.9,-99.9,81,379,813,0,164,977,"0 to 3,000",5,-99.9,10.76596948
Albany Water Gas & Light Commission,Muni,Albany Water Gas & Light Commission,GA,Albany,www.albanyutil.org,Georgia Power Co,Southern Co Services Inc,Municipal Electric Authority of Georgia,F,22.75423719,4,Previously Mapped Features; ABB Research,33800.32917,15127.20884,-99.9,-99.9,-99.9,81,380,31473,0,5610,37083,"3,000 to 100,000",1,-99.9,35107.63931
Albemarle Electric Member Corp,DistCoop,Albemarle Electric Member Corp,NC,Hertford,www.albemarle-emc.com,PJM Interconnection,PJM Interconnection,North Carolina Electric Membership Corp,F,892.279209,3,Company Maps; ABB Research,57983.56561,29748.40236,-99.9,-99.9,-99.9,81,2772,11796,20,1115,12931,"3,000 to 100,000",2,-99.9,66441.65013
Albemarle NC (City of),Muni,Albemarle NC (City of),NC,Albemarle,,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Not Applicable,F,4.292119849,4,Previously Mapped Features; ABB Research,2598.772594,2483.447004,-99.9,-99.9,-99.9,81,381,9883,13,2222,12118,"3,000 to 100,000",6,-99.9,4947.426015
Albertville AL (City of),Muni,Albertville AL (City of),AL,Albertville,,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,F,2.359800836,4,Previously Mapped Features; ABB Research,16867,752.605956,-99.9,-99.9,-99.9,81,1260,7982,15,2238,10235,"3,000 to 100,000",5,-99.9,1912.668848
Albion ID (City of),Muni,Albion ID (City of),ID,Albion,,Bonneville Power Administration,Bonneville Power Administration,Not Applicable,F,0.416695656,4,Previously Mapped Features; ABB Research,339,0.294218455,-99.9,-99.9,-99.9,81,1791,191,0,23,214,0 to 700,1,-99.9,0.767060431
Alcoa Utilities TN (City of),Muni,Alcoa Utilities TN (City of),TN,Alcoa,,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,F,416.9361744,3,Company Maps; ABB Research,76051.11885,40661.74255,-99.9,-99.9,-99.9,81,850,25601,1,3745,29347,"3,000 to 100,000",5,-99.9,89593.48449
Alcorn County Electric Power Association,DistCoop,Alcorn County Electric Power Association,MS,Corinth,,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,F,372.4775221,3,Company Maps; ABB Research,33491.31,16552.12,-99.9,-99.9,-99.9,81,200,14786,6,4050,18842,"3,000 to 100,000",4,-99.9,35846.99
Alder Mutual Light Co Inc,DistCoop,Alder Mutual Light Co Inc,WA,Elbe,,Bonneville Power Administration,Bonneville Power Administration,Not Applicable,F,4.475360621,3,Company Maps; ABB Research,-99,91.97616593,-99.9,-99.9,-99.9,81,2343,263,0,29,292,0 to 700,6,-99.9,204.8518466
Alexander City Municipal Gas Co,Muni,Alexander City AL (City of),AL,Alexander City,,Alabama Power Co,Southern Co Services Inc,Alabama Municipal Electric Authority,F,25.50820439,3,Company Maps; ABB Research,2540.851111,1616.044029,-99.9,-99.9,-99.9,81,1297,5067,73,1013,6153,"3,000 to 100,000",1,-99.9,3417.589355
Alexandria (City of) Gas Dept,Muni,Alexandria LA (City of),LA,Alexandria,www.cityofalexandriala.com,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,0.387269737,4,Previously Mapped Features; ABB Research,27094.39915,94.15885867,-99.9,-99.9,-99.9,81,382,20512,6,3538,24056,"3,000 to 100,000",1,-99.9,253.171457
Alexandria MN (City of),Muni,Alexandria MN (City of),MN,Alexandria,www.alexandria.mn.us,Missouri River Energy Services,Midcontinent ISO (Balancing Authority),Not Applicable,F,1.65192449,4,Previously Mapped Features; ABB Research,8351,481.7413294,-99.9,-99.9,-99.9,81,384,8044,208,1676,9928,"3,000 to 100,000",1,-99.9,945.7033114
Alfalfa Electric Coop Inc,DistCoop,Alfalfa Electric Coop Inc,OK,Cherokee,www.alfalfaelectric.coop,Southwest Power Pool,Southwest Power Pool (Balancing Authority),Western Farmers Electric Coop,F,3798.847881,3,Company Maps; ABB Research,25024.18866,12852.83767,-99.9,-99.9,-99.9,81,1704,2951,264,5386,8601,"3,000 to 100,000",4,-99.9,25818.10635
Alger Delta Coop Electric Association,DistCoop,Alger Delta Coop Electric Association,MI,Gladstone,,WPPI Energy,Midcontinent ISO (Balancing Authority),Not Applicable,T,3662.508509,3,Company Maps; ABB Research,60562.828,36275.68905,-99.9,-99.9,-99.9,81,2929,9507,1,539,10047,"3,000 to 100,000",3,-99.9,61605.57261
Algoma Power Inc,Private,Fortis Inc,,,http://www.algomapower.com,Not Applicable,Not Applicable,Not Applicable,F,18119.02972,4,ABB Research,-99,-99,-99.9,-99.9,-99.9,81,3020,-99,-99,-99,-99,Not Reported,4,-99.9,-99
Algoma Utility Commission,Muni,Algoma Utility Commission,WI,Algoma,www.algomacity.org/algoma_utilities.html,WPPI Energy,Midcontinent ISO (Balancing Authority),Not Applicable,F,2.344728536,3,ABB Research,2508.476532,1277.765687,-99.9,-99.9,-99.9,81,2372,1661,1,360,2022,"0 to 3,000",1,-99.9,2382.619141
Algona Municipal Utilities,Muni,Algona Municipal Utilities,IA,Algona,,Southwest Power Pool,Southwest Power Pool (Balancing Authority),Not Applicable,F,36.76437024,4,Previously Mapped Features; ABB Research,5860.626216,2828.303075,-99.9,-99.9,-99.9,81,1353,3027,15,678,3720,"3,000 to 100,000",1,-99.9,5917.498827
Allamakee Clayton Electric Coop Inc,DistCoop,Allamakee Clayton Electric Coop Inc,IA,Postville,www.acrec.com,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Dairyland Power Coop,F,1415.881513,3,Company Maps; ABB Research,28750.21618,14268.13927,-99.9,-99.9,-99.9,81,2731,9465,0,520,9985,"3,000 to 100,000",2,-99.9,28366.75144
Allendale IL (City of),Muni,Allendale IL (City of),IL,Allendale,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,0.298601778,4,Previously Mapped Features; ABB Research,468,2.625304958,-99.9,-99.9,-99.9,81,1792,237,0,15,252,0 to 700,1,-99.9,5.750737844
ALLETE Inc,IOU,ALLETE Inc,MN,Duluth,www.mnpower.com,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,2398.272056,3,Company Maps; ABB Research,163930.75,87614.42,-99.9,-99.9,-99.9,81,2741,122557,380,23804,146741,"100,000 to 950,000",2,-99.9,184462.72
Alliance NE (City of),Muni,Alliance NE (City of),NE,Alliance,,Southwest Power Pool,Southwest Power Pool (Balancing Authority),Municipal Energy Agency of Nebraska,F,4.328548022,4,Previously Mapped Features; ABB Research,9602,208.809195,-99.9,-99.9,-99.9,81,385,4246,10,1061,5317,"3,000 to 100,000",1,-99.9,437.3819323
Alma KS (City of),Muni,Alma KS (City of),KS,Alma,,Westar Energy,Southwest Power Pool (Balancing Authority),Not Applicable,F,0.541709075,3,Previously Mapped Features; ABB Research,828,2.722663813,-99.9,-99.9,-99.9,81,386,352,3,115,470,0 to 700,1,-99.9,6.430849206
Alpena Power Co,Muni,Alpena Power Co,MI,Alpena,www.alpenapower.com,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,T,509.2789715,3,Company Maps; ABB Research,29814.18666,16358.45707,-99.9,-99.9,-99.9,81,1310,13686,4,4000,17690,"3,000 to 100,000",1,-99.9,28665.8419
Alpha MN (City of),Muni,Alpha MN (City of),MN,Alpha,www.ci.anoka.mn.us,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,0.165386752,4,Previously Mapped Features; ABB Research,101,0.537173511,-99.9,-99.9,-99.9,81,1793,66,0,15,81,0 to 700,1,-99.9,1.096508441
Alta IA (City of),Muni,Alta IA (City of),IA,Alta,www.alta-tec.net,WAPA Upper Great Plains East,Southwest Power Pool (Balancing Authority),Not Applicable,F,3.053880218,4,Previously Mapped Features; ABB Research,1748,38.41427666,-99.9,-99.9,-99.9,81,1354,836,0,142,978,"0 to 3,000",1,-99.9,84.79043533
Alta Vista IA (City of),Muni,Alta Vista IA (City of),IA,Alta Vista,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,1.62080716,3,Company Maps; ABB Research,237,8.242656252,-99.9,-99.9,-99.9,81,50,143,0,29,172,0 to 700,5,-99.9,19.62116959
Altamaha Electric Member Corp,DistCoop,Altamaha Electric Member Corp,GA,Lyons,www.altamahaemc.com,Oglethorpe Power Corp,Southern Co Services Inc,Oglethorpe Power Corp,F,1003.687049,3,Company Maps; ABB Research,40033.78008,19849.20308,-99.9,-99.9,-99.9,81,142,20712,227,1851,22790,"3,000 to 100,000",2,-99.9,45150.72905
Altamont IL (City of),Muni,Altamont IL (City of),IL,Altamont,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,0.893465502,4,Previously Mapped Features; ABB Research,2309,19.81339108,-99.9,-99.9,-99.9,81,387,1336,20,161,1517,"0 to 3,000",1,-99.9,48.78033711
Altamont KS (City of),Muni,Altamont KS (City of),KS,Altamont,www.altamontks.com,Westar Energy,Southwest Power Pool (Balancing Authority),Not Applicable,F,1.363557205,4,Previously Mapped Features; ABB Research,1028,8.688681865,-99.9,-99.9,-99.9,81,1794,560,0,0,560,0 to 700,1,-99.9,20.74237413
Alton Municipal Utilities,Muni,Alton IA (City of),IA,Alton,www.netins.net/ricweb/community/alton/alton.htm,WAPA Upper Great Plains East,Southwest Power Pool (Balancing Authority),Not Applicable,F,1.135141253,3,Company Maps; ABB Research,1104,10.99409699,-99.9,-99.9,-99.9,81,72,470,0,118,588,0 to 700,3,-99.9,27.27916307
Altus OK (City of),Muni,Altus OK (City of),OK,Altus,www.cityofaltus.org/utilities/index.htm,Oklahoma Municipal Power Authority,Southwest Power Pool (Balancing Authority),Not Applicable,F,16.9968485,4,Previously Mapped Features; ABB Research,10400.7657,4307.03978,-99.9,-99.9,-99.9,81,1795,7647,2,1181,8830,"3,000 to 100,000",1,-99.9,9515.29883
Alvarado MN (City of),Muni,Alvarado MN (City of),MN,Alvarado,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,0.214555194,4,Previously Mapped Features; ABB Research,336,1.429399404,-99.9,-99.9,-99.9,81,1796,161,0,24,185,0 to 700,1,-99.9,3.025640956
Amana Society Service Co,IO,Amana Society Service Co,IA,Amana,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,21.6296445,3,Company Maps; ABB Research,-99,257.7944073,-99.9,-99.9,-99.9,81,42,703,1,182,886,"0 to 3,000",2,-99.9,597.1376223
Ameren Illinois,IOU,Ameren Corp,MO,St Louis,http://www.ameren.com/sites/aiu/Pages/Home.aspx,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,44872.22301,4,Company Maps; ABB Research,3217449.9,1447701.331,-99.9,-99.9,-99.9,81,3105,435000,305,62370,497675,"100,000 to 950,000",3,-99.9,3281336.131
Ameren Missouri,IOU,Ameren Corp,MO,St Louis,http://www.ameren.com/sites/aue/pages/home.aspx,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,T,15207.3399,3,ABB Research,2646620.27,1245224.901,-99.9,-99.9,-99.9,81,2682,1060493,3961,159140,1223595,"950,000 and Above",2,-99.9,2782871.14
American Samoa Power Authority,State,American Samoa Power Authority,AS,Pago Pago,www.aspower.com/,American Samoa Power Authority,Not Applicable,Not Applicable,F,75.84585071,3,ABB Research,0,-99,-99.9,-99.9,-99.9,81,2968,10866,4,1395,12265,"3,000 to 100,000",1,-99.9,-99
Ames Municipal Electric System,Muni,Ames Municipal Electric System,IA,Ames,www.city.ames.ia.us/electricweb/default.htm,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,28.29500815,4,Previously Mapped Features; ABB Research,44741.53938,19609.01871,-99.9,-99.9,-99.9,81,1355,23946,7,3007,26960,"3,000 to 100,000",1,-99.9,49246.78818
Amherst OH (City of),Muni,Amherst OH (City of),OH,Amherst,,American Municipal Power OH,PJM Interconnection,American Municipal Power Inc,F,7.220953719,3,ABB Research,8714.406348,4050.562137,-99.9,-99.9,-99.9,81,2496,5558,68,498,6124,"3,000 to 100,000",1,-99.9,9466.129286
Amicalola Electric Member Corp,DistCoop,Amicalola Electric Member Corp,GA,Jasper,www.amicalolaemc.com,Oglethorpe Power Corp,Southern Co Services Inc,Oglethorpe Power Corp,F,1146.342048,3,Company Maps; ABB Research,75208.202,51898.53018,-99.9,-99.9,-99.9,81,2342,44166,0,4980,49146,"3,000 to 100,000",4,-99.9,111255.0272
Amory MS (City of),Muni,Amory MS (City of),MS,Amory,www.amoryms.us,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,F,17.23481075,4,Previously Mapped Features; ABB Research,3757.497474,1790.528777,-99.9,-99.9,-99.9,81,1356,2892,3,1104,3999,"3,000 to 100,000",6,-99.9,3945.6793
Anadarko Public Works Authority,Muni,Anadarko Public Works Authority,OK,Anadarko,www.ci.anadarko.ok.us/Default.asp?WCI=CityDocument&DOCUMENT=cities/Anadarko,Western Farmers Electric Coop,Southwest Power Pool (Balancing Authority),Not Applicable,F,1.349841888,4,Previously Mapped Features; ABB Research,6782,108.0192872,-99.9,-99.9,-99.9,81,389,2451,0,481,2932,"0 to 3,000",1,-99.9,263.3851483
Anaheim Public Utilities Dept,Muni,Anaheim CA (City of),CA,Anaheim,www.anaheim.net/utilities/index.htm,California ISO,California Independent System Operator (Balancing Authority),Southern California Public Power Authority,F,50.4380863,4,Previously Mapped Features; ABB Research,302527.69,97703.38,-99.9,-99.9,-99.9,81,2154,101740,306,17355,119401,"100,000 to 950,000",2,-99.9,321230.53
Anchorage Municipal Light & Power,Muni,Anchorage Municipal Light & Power,AK,Anchorage,www.mlandp.com,Anchorage AK (City of),Anchorage AK (City of),Not Applicable,F,71.03638702,3,Company Maps; ABB Research,140305.8568,62330.62298,-99.9,-99.9,-99.9,81,334,24548,0,6419,30967,"3,000 to 100,000",2,-99.9,152779.5673
Andalusia AL (City of),Muni,Andalusia AL (City of),AL,Andalusia,,PowerSouth Energy Coop,PowerSouth Energy Coop,PowerSouth Energy Coop,F,3.46477589,4,Previously Mapped Features; ABB Research,8907,353.7175568,-99.9,-99.9,-99.9,81,1261,3639,2,1001,4642,"3,000 to 100,000",5,-99.9,733.5413984
Anderson Municipal Light & Power,Muni,Anderson Municipal Light & Power,IN,Anderson,www.aml-p.com,PJM Interconnection,PJM Interconnection,Indiana Municipal Power Agency,F,12.42862827,4,Previously Mapped Features; ABB Research,29708.17166,14544.94724,-99.9,-99.9,-99.9,81,390,31272,60,4270,35602,"3,000 to 100,000",1,-99.9,28432.59422
Andover NY (Village of),Muni,Andover NY (Village of),NY,Andover,,New York Independent System Operator Inc,New York ISO (Balancing Authority),Not Applicable,F,1.005652755,4,Previously Mapped Features; ABB Research,1086,24.70677797,-99.9,-99.9,-99.9,81,2227,572,0,48,620,0 to 700,1,-99.9,49.86944728
Angelica NY (Village of),Muni,Angelica NY (Village of),NY,Angelica,,New York Independent System Operator Inc,New York ISO (Balancing Authority),Not Applicable,F,2.144108999,4,Previously Mapped Features; ABB Research,947,40.64019335,-99.9,-99.9,-99.9,81,2228,642,0,81,723,"0 to 3,000",1,-99.9,62.27098977
Aniak Light & Power Co Inc,IOU,Aniak Light & Power Co Inc,AK,Aniak,,Chugach Electric Association Inc,Chugach Electric Association Inc,Not Applicable,F,2.044480083,3,ABB Research,574,0.077267003,-99.9,-99.9,-99.9,81,2122,172,0,34,206,0 to 700,3,-99.9,0.15474745
Anita IA (City of),Muni,Anita IA (City of),IA,Anita,www.anitaiowa.com/utility.html,WAPA Upper Great Plains East,Southwest Power Pool (Balancing Authority),Not Applicable,F,1.834379088,4,Previously Mapped Features; ABB Research,1034,10.2074522,-99.9,-99.9,-99.9,81,1357,485,0,132,617,0 to 700,1,-99.9,21.55457139
