Company Name,Ownership Type,Holding Company Name,State,City,Website,Planning Area Name,Balancing Authority Area Name,Membership Name,Overlap,Area (sq mi),Location Code,Source,Population 2000,Number Of Households,Median Household Income,Household Aggregate Income,Per Capita Income,Layer_ID,Rec_ID,Bundled Residential Customers,Bundled Industrial Customers,Bundled Commercial Customers,Bundled Total Customers,Total Customers Ranges,Color_Code,Distribution Line Miles,Population 2010
Carlisle Municipal Electric Utility,Muni,Carlisle Municipal Electric Utility,IA,Carlisle,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Municipal Energy Agency of Nebraska,F,3.203092836,3,Company Maps; ABB Research,3582,422.0005108,-99.9,-99.9,-99.9,81,94,1312,0,232,1544,"0 to 3,000",5,-99.9,1070.682081
Carlyle Municipal Electric,Muni,Carlyle Municipal Electric,IL,Carlyle,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,1.229439169,4,Previously Mapped Features; ABB Research,3553,38.86203165,-99.9,-99.9,-99.9,81,481,1744,13,334,2091,"0 to 3,000",1,-99.9,76.4364246
Carmi Light Water & Power,Muni,Carmi Light Water & Power,IL,Carmi,www.cityofcarmi.com,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,2.352633711,4,Previously Mapped Features; ABB Research,1939.939836,884.5230565,-99.9,-99.9,-99.9,81,482,2600,2,590,3192,"3,000 to 100,000",1,-99.9,1831.589181
Carroll County,Muni,Carroll County,TN,Huntingdon,,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,F,1010.153773,3,Company Maps; ABB Research,50310.42849,23582.60124,-99.9,-99.9,-99.9,81,1368,12146,2,3406,15554,"3,000 to 100,000",2,-99.9,51022.76359
Carroll County REMC,DistCoop,Carroll County REMC,IN,Delphi,www.remconline.net,Wabash Valley Power Association,Midcontinent ISO (Balancing Authority),Wabash Valley Power Association Inc,F,494.7012213,3,Company Maps; ABB Research,21491.24126,11144.07979,-99.9,-99.9,-99.9,81,2292,-99,-99,-99,-99,Not Reported,4,-99.9,24756.83017
Carroll Electric Coop Corp,DistCoop,Carroll Electric Coop Corp,AR,Berryville,www.carrollecc.com,Southwest Power Pool,Southwest Power Pool (Balancing Authority),Arkansas Electric Coop Corp,F,2803.126044,3,Company Maps; ABB Research,144922.725,92127.83084,-99.9,-99.9,-99.9,81,1499,94126,45,6579,100750,"100,000 to 950,000",4,-99.9,197725.0747
Carroll Electric Coop Inc,DistCoop,Carroll Electric Coop Inc,OH,Carrollton,www.carrollelectriccoop.com,PJM Interconnection,PJM Interconnection,Buckeye Power Inc,F,442.1221026,3,ABB Research,26647.19484,14270.66152,-99.9,-99.9,-99.9,81,2514,10787,7,1086,11880,"3,000 to 100,000",4,-99.9,30639.20088
Carroll Electric Member Corp,DistCoop,Carroll Electric Member Corp,GA,Carrollton,www.cemc.com,Oglethorpe Power Corp,Southern Co Services Inc,Oglethorpe Power Corp,F,932.522067,4,Previously Mapped Features; ABB Research,101904.3879,53767.2792,-99.9,-99.9,-99.9,81,1497,48313,44,2880,51237,"3,000 to 100,000",4,-99.9,132843.833
Carrollton Municipal Utilities,Muni,Carrollton Municipal Utilities,MO,Carrollton,,Southwest Power Pool,Southwest Power Pool (Balancing Authority),Missouri Joint Municipal Electric Utility Commission,F,2.516875327,4,Previously Mapped Features; ABB Research,3848,247.1285033,-99.9,-99.9,-99.9,81,483,1642,5,408,2055,"0 to 3,000",1,-99.9,502.0559338
Carteret Craven Electric Membership Corp,DistCoop,Carteret Craven Electric Membership Corp,NC,Morehead City,www.ccemc.com,Progress Energy Carolina,Duke Energy Progress East,North Carolina Electric Membership Corp,F,709.6302374,3,Company Maps; ABB Research,55795.61084,36978.41351,-99.9,-99.9,-99.9,81,2447,36439,0,4028,40467,"3,000 to 100,000",1,-99.9,61628.5564
Cartersville Electric System,Muni,Cartersville Electric System,GA,Cartersville,www.cityofcartersville.org/Utilities/Electric/index.htm,Georgia Power Co,Southern Co Services Inc,Municipal Electric Authority of Georgia,F,2.419647359,4,Previously Mapped Features; ABB Research,13470,719.9899979,-99.9,-99.9,-99.9,81,484,6248,13,1400,7661,"3,000 to 100,000",3,-99.9,1689.693939
Carthage MO (City of),Muni,Carthage MO (City of),MO,Carthage,www.cwepnet.com,Southwestern Power Administration,Southwestern Power Administration,Missouri Joint Municipal Electric Utility Commission,F,4.147851702,4,Previously Mapped Features; ABB Research,1620.183003,1450.413749,-99.9,-99.9,-99.9,81,486,6582,27,1076,7685,"3,000 to 100,000",1,-99.9,3607.151952
Cascade Locks OR (City of),Muni,Cascade Locks OR (City of),OR,Cascade Locks,www.cascade-locks.or.us/departments/citylight.htm,Bonneville Power Administration,Bonneville Power Administration,Not Applicable,F,3.07078962,4,Previously Mapped Features; ABB Research,1021,12.15711996,-99.9,-99.9,-99.9,81,1831,828,0,83,911,"0 to 3,000",1,-99.9,30.83249588
Cascade Municipal Utilities,Muni,Cascade Municipal Utilities,IA,Cascade,www.cascadeiowa.org/utilities.htm,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,1.854805585,4,Previously Mapped Features; ABB Research,1994,16.17946635,-99.9,-99.9,-99.9,81,1369,932,3,192,1127,"0 to 3,000",1,-99.9,39.99362011
Casey IL (City of),Muni,Casey Electric Dept,IL,Casey,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Illinois Public Energy Agency,F,0.998403403,4,Previously Mapped Features; ABB Research,3082,47.6457507,-99.9,-99.9,-99.9,81,487,1666,1,287,1954,"0 to 3,000",1,-99.9,100.4338018
Cashton WI (Village of),Muni,Cashton WI (Village of),WI,Cashton,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,1.02891382,4,Previously Mapped Features; ABB Research,837,14.93555793,-99.9,-99.9,-99.9,81,2382,485,0,123,608,0 to 700,1,-99.9,37.46906713
Cass County Electric Coop Inc,DistCoop,Cass County Electric Coop Inc,ND,Fargo,www.kwh.com,Minnkota Power Coop,Midcontinent ISO (Balancing Authority),Minnkota Power Coop,F,3587.21589,3,Company Maps; ABB Research,23206.8717,12583.15692,-99.9,-99.9,-99.9,81,1705,44189,622,5822,50633,"3,000 to 100,000",1,-99.9,27482.31796
Cass Electric Coop,DistCoop,Cass Electric Coop,IA,Webster City,,Minnkota Power Coop,Midcontinent ISO (Balancing Authority),Not Applicable,F,13.99969793,3,Company Maps; ABB Research,7755,279.6685629,-99.9,-99.9,-99.9,81,67,88,0,0,88,0 to 700,2,-99.9,595.4550747
Castile Municipal Electric System,Muni,Castile Municipal Electric System,NY,Castile,,New York Independent System Operator Inc,New York ISO (Balancing Authority),Not Applicable,F,1.346335154,4,Previously Mapped Features; ABB Research,1121,61.04545689,-99.9,-99.9,-99.9,81,2233,527,15,84,626,0 to 700,1,-99.9,102.0702518
Castroville TX (City of),Muni,Castroville Utility System,TX,Castroville,,ERCOT,ERCOT ISO (Balancing Authority),Not Applicable,F,0.739396574,4,Previously Mapped Features; ABB Research,3114,27.73754615,-99.9,-99.9,-99.9,81,488,1262,0,264,1526,"0 to 3,000",1,-99.9,71.90741992
Catawissa PA (Borough of),Muni,Catawissa PA (Borough of),PA,Catawissa,,PJM Interconnection,PJM Interconnection,American Municipal Power Inc,F,0.485036792,4,Previously Mapped Features; ABB Research,1581,43.91453614,-99.9,-99.9,-99.9,81,2790,802,5,52,859,"0 to 3,000",3,-99.9,95.15121514
Cavalier ND (City of),Muni,Cavalier ND (City of),ND,Cavalier,,WAPA Upper Great Plains East,Southwest Power Pool (Balancing Authority),Not Applicable,F,0.734435711,4,Previously Mapped Features; ABB Research,1418,134.5656963,-99.9,-99.9,-99.9,81,1832,701,0,180,881,"0 to 3,000",1,-99.9,247.4223055
